ID,Text,Labels,pred,Love
1,她们 都 睡 蹑手蹑脚 摸黑 上 床 凑 上 去 想 亲 嫣 一下 她 突然 一个 转身 小手 啪 地 搭 我的 脸颊 上 我便 被 施 魔法 似地 定 住 每次 抱 着 嫣 时候 总想 让 她 小手 搂 着 我的 脖子 可 她 总是 不肯 她 只 小手 指挥 着 我的 方向 指 着 她 感 兴趣 东西 一刻 也 不肯 停 闲,"Love,Joy","Love,Expect",Love
2,现在 好 终于 如愿以偿,Joy,Joy,Love
3,感受 着 小手 温度 享受 着 这份 她 对 我的 依恋 生怕 动 一下 会 让 她 小手 离 而 去,"Love,Joy,Anxiety",Love,Love
4,望 一眼 背 身 而 卧 妻 如果 她 知道 我的 想法 一定 又 会 那 句 ： 切 又 自作 多 情,"Love,Anxiety","Love,Expect",unLove
5,眼睛 逐渐 适应 周围 黑暗 借 着 床头 热 奶 器 上 桔红色 指示灯 微弱 光线 慢慢 能 看见 她们 轮廓 能 听见 她们 呼吸 天 疲惫 瞬间 不再 难得 一刻 清静,"Love,Joy",Joy,Love
6,这 年 大半 时间 在为 基金会 忙碌 着 以致于 友人 问 怎么 真是 改行 做 慈善 我也 只 能 笑笑,Sorrow,"Anxiety,Sorrow",unLove
7,其实 无论 从 我的 财富 积累 还是 从 我的 人生 阶段 来讲 都 还 没 那 步 一切 只是 因为 这 偶然性 事件 罢了,Sorrow,,unLove
8,既然 做 就 尽力 去 做好 吧,Expect,Expect,Love
9,接受 和 面对 生活 给予 一切 无论 成功 或是 失败 无论 鲜花 或是 鸡蛋,"Expect,Love","Love,Joy,Expect",Love
10,我希望 嫣 儿 长大 可以 成为 这样 人,Expect,Expect,Love
11,感受 他们 对 这个 社会 宽容 和 感恩,"Love,Joy","Love,Joy",Love
12,他 她 们 承受 却 不 抱怨 但 又决 不 麻木,Love,Love,unLove
13,因为 他 她 们 得到 一点点 帮助 时候 他 她 们 眼睛 湿润 尽管 说 不 出 什么 言辞,"Love,Joy","Love,Joy",Love
14,他 她 们 着 人 身上 最 原始 韧性 和 最 纯朴 情感,Love,Love,Love
15,我希望 嫣 儿 长大 可以 成为 这样 人,Expect,"Love,Expect",Love
16,美国 医生 说 ： Ｉｔ ’ ｓ　ｍｅ ． 翻译 笑着 解释 这 他 自信 一个 外科 医生 必须 有的 自信 否则 他 怎么 下刀 呢,"Love,Joy","Love,Joy",Love
17,一个 外科 医生 自信 说 得 好 我希望 嫣 儿 长大 可以 成为 这样 人,"Expect,Love","Love,Expect",Love
18,热 奶 器 指示灯 给 嫣 儿 笼 上 层 桔红 光芒 她 睡 得 如此 香甜 她 是否 知道 这 自作 多情 老爸 对 她 如此 多 希望 呢,"Love,Expect,Joy","Love,Expect",Love
19,最近 读 王 朔 老师 致 女儿 书 便 也 学 着 写篇 致 女儿 博客 吧 以后 再多 写些 汇 成册 等 她 长大 送给 她 读,"Love,Expect","Love,Expect",Love
20,这 一个 温馨 祥和 欢聚 宴 这将 又 一个 兴奋 激动 不眠之夜,"Joy,Love","Love,Joy",Love
21,来自 海外 各 团体 代表 欧 美 同学会 中国 留学 人员 联谊会 旗帜 下 出席 第三 届 海外 留学 人员 团体 负责人 代表 座谈会 相聚 北京 交流 经验 互 述 衷 畅 切磋 学艺 深化 情谊,"Joy,Love","Love,Joy",Love
22,此 代表 全 日本 中国 人 博士 协会 也 代表 全体 留日 学人 向 主持 筹备 该 座谈会 付出 辛劳 各位 学长 和 朋友 表示 最 衷心 感谢,"Love,Joy","Love,Joy",Love
23,同时 也 对 来自 远方 赴 会 各位 同 士 各位 学长 各位 朋友 致以 最 良好 问候,"Love,Joy","Love,Joy",Love
24,站 这个 讲台 上 周 恩来 学长 那 首 气势磅礴 诗篇 大江 歌 罢 掉头 东 就 不由自主 地 回旋 耳,Love,"Love,Joy",Love
25,日 转 星 移 沧海桑田,Joy,Sorrow,unLove
26,此 很 自豪 地 向 各位 学长 汇报 包括 留学 人员 内 ６５万 日 华侨 华人 学 得 很 认真 干 得 很 出色,"Joy,Love",Joy,Love
27,留 日 学人 社团 活跃 开展 活动 多姿 多样,"Love,Joy","Love,Joy",Love
28,于 １９９６年 ７月 成立 全 日本 中国 人 博士 协会 由 日本 取得 博士 学位 并 活跃 于 大学 研究 开发 机构 优秀 留学 人员 所 组成,Love,Love,Love
29,其 宗旨 为 务实 架桥 创新 贡献,"Love,Joy,Expect","Love,Expect",Love
30,架 四 座 桥 ： 留学 人员 与 中国 间 留学 人员 与 日本 间 中国 与 日本 间 留学 人员 与 留学 人员 间 桥梁,Expect,Love,Love
31,因此 会员 既 架 桥工 亦 为 过 桥 人 博 协 为 广大 留学 人员 创造 一个 回国 服务 良好 环境,"Love,Expect","Love,Expect",Love
32,其 成果 包括 会员 成为 兼职 教授 长江 学者 百 人 计划 亦有 创办 高新产业 佼佼者,"Joy,Love","Love,Joy",Love
33,另外 支持 为 国 服务 博 协 又 大 项目,Love,"Love,Joy",Love
34,博 协 很 自豪 地 获得 科技部 教育部 首 届 春晖 竞赛 杯 优秀 海外 协 赞 单位 称号,Joy,Joy,Love
35,提高 会员 学术 地位 社会 地位 博 协 主要 目标 之一,Expect,Expect,Love
36,每年 度 全 日本 中国 人 博士 协会 年会 已经 成为 一个 品牌,"Love,Joy",Love,Love
37,年会 单 年 中国 双 年 日本 召开 它 已经 成 博 协 一个 岁岁 期盼 节目,"Love,Joy,Expect","Love,Expect",Love
38,由于 博 协 性质 成功 地 协助 创办 杂志 编纂 科技 前沿 主办 国际 会议,Joy,"Love,Joy",Love
39,这里 特别 提及 由 江苏省 人民政府 与 全 日本 中国 人 博士 协会 承办 中国 驻 日本 大使馆 日本 新华 侨 华人 会 日 中国 科学技术 者 联盟 日本 江苏 发展 促进会 全 日本 中国 留学 人员 友好 联谊会 协办 百 名 留 日 博士 江苏 行,Love,"Love,Joy",Love
40,在这里 怀着 多年 难得 激动 来 描述 百 名 留 日 博士 江苏 行 情景 ：,"Joy,Love","Love,Joy",Love
41,既 飘逸 着 传统 文化 汉风 吴 韵 绚丽 华彩 又 充满 着 时尚 潮流 先端 前沿 现代 气息 江苏 ８月 １４日 以来 由于 １２３ 名 留 日 博士 江苏 行 江苏 大地 沉浸 激情 而 带有 经验 奇想 而 富有 知识 种 难以 言表 热烈 氛围,"Love,Joy","Love,Joy",Love
42,印有 百 名 博士 江苏 行 标志 雪白 村 衫 灿烂 阳光 辉映 下 构成 近日来 江苏省 内 道 亮丽 风景,"Love,Joy",Love,Love
43,南京 连云港 南通 金碧辉煌 酒店 论坛 随时 传出 博 协会 员 精彩 演讲 ； 通州 扬州 无锡 庄严 肃穆 政府 厅舍 项目 对接 签约 仪式 上 辉映 着 博 协会 员 身影 ； 江阴 张家港 太仓 昆山 多少 博 协 科研 成果 多少 博 协会 员 奇迹 传扬,"Love,Joy","Love,Joy",Love
44,我不 善 长 写 诗赋 词 但 我愿 用 几 奇妙 汉字 来 描述 日 华侨 华人 就 ： 富士山 下 勤学 东瀛 国 里 逞 雄,"Love,Joy","Love,Expect",Love
45,各位 学长 在这里 请 允许 引用 ２００４年 ６月 １３日 我在 全 日本 中国 人 博士 协会 会馆 开馆 典礼 上 致词 一段话 来 概括 博 协 方向 ：,Expect,"Love,Expect",抱歉，我无法对文本进行分类，因为我无法判断该文本的情绪。我只能根据文本内容对其进行情感分析，并根据分析结果对文本进行分类。如果你有其他问题，我很乐意提供帮助。
46,中国 人 对 世界 做出 更 大 贡献 这 中国 人 当然 包括 华侨 华人 及 海外 留学 人员,Expect,"Love,Expect",Love
47,因此在 架桥 · 牵线 同时 今后 更 积极 投身 参与 所在国 科技 · 文化 · 经济 乃至 政治,Expect,Expect,Love
48,这 不仅仅 争取 权利 更 义不容辞 义务 和 责任,Expect,Expect,unLove
49,可以 断言 成批 中国 人 科学家 专家 教授 艺术家 ＣＥＯ 出现 杰出 华人 议员 校长 州长 乃至 总统 产生 就 中国 人 对 世界 贡献,"Joy,Expect",Love,Love
50,当然 强调 多数 留学 人员 回到 祖国 兢兢业业 复兴 伟大 中华 民族 繁荣 九百六十万 平方公里 华夏 富强 十三亿五千万 炎黄 更 中国 人 对 人类 贡献,"Love,Joy,Expect","Love,Joy,Expect",Love
51,各位 学长 经过 ９３ 载 岁月 考验 欧 美 同学会 海外 华侨 华人 社团 娘家 也 旅居 海外 会员 温馨 家园,Love,"Love,Joy",Love
52,她 所 倡导 科学 民主 精神 至今 仍 具有 现实 意义 和 实用 价值,"Love,Joy",Love,Love
53,修学 游艺 敦 谊 励行 办 会 宗旨 经得起 风霜 雪 雨 洗礼,"Joy,Love","Love,Expect",Love
54,再过 １０７ 年 或许 再过 ５７ 年 或许 只再 过 ７ 年 当 她 １００ 周岁 之时 会 发现 世界 上 没有 那个 组织 象 欧 美 同学会 那样 其 会员 地理 分布 阔 其 会员 专业 领域 分布 广 对 中国 崛起 贡献 大 对 振兴 科学 创新 多,"Love,Joy,Expect","Love,Joy",Love
55,当前 知识化 信息化 浪潮 如 疾风 骤雨 般地 改变 着 人类 生活 生存 方式,Joy,Anxiety,Love
56,人类 有史 以来 第一 次 面对 这样 现实 那 就 你 可以 任何 时间 任何 地点 与 你 所 希望 交流 人 进行 通讯,Joy,Joy,Love
57,这 信息化 社会 基础 这也 智能化 社会 根基,Love,Love,Love
58,一个 充满 和谐 洋溢 互爱 信息 智能 社会 犹如 东方 已 见 晨曦 那 轮 即将 磅礴 而 出 朝阳 亦 象 那 踹 动 于 母 腹中 快要 成熟 婴儿,"Love,Joy","Love,Joy,Expect",Love
59,这样 一个 伟大 变革 进程 包括 海外 留学 人员 团体 欧 美 同学会 中国 留学 人员 联谊会 应该 大有作为 必将 大有作为,"Expect,Love,Joy","Joy,Expect",Love
60,谢谢,"Joy,Love",Joy,Love
61,路程 不 长 可 发生 系列 事情 呵呵 连续剧 哦 ￣￣,Joy,Joy,unLove
62,那 人 就 说 那 你 等 我会 司机 说 你 等 下一 班车 吧 那 人 就 不 肯 下 车 司机 就 不 肯 开车 就 这样 僵持 着,"Anxiety,Hate",Anxiety,unLove
63,帮 你 投 吧,Expect,Expect,unLove
64,他 连声 道谢 淡淡 一笑 坐 回 位置,"Joy,Love",Joy,Love
65,车 人 静静 注视 着 惊讶 不解 或者 不屑,"Surprise,Hate","Anxiety,Surprise",unLove
66,谁 错 呢,"Anxiety,Expect,Surprise",Anxiety,unLove
67,好像 都 没有 错,Love,Joy,unLove
68,司机 的确 有权 要求 乘客 投币 才 能 坐 车 ； 中年人 手 里 明明 拿 着 钱 但 需要 找钱 ； 和 他 起 上车 呢 也 上车 就 投币 很 正常,"Anxiety,Expect",Love,unLove
69,其实 这 事 很 好 解决 啊 只要 大家 多 一点点 热情 就 可以 解决,"Expect,Love",Joy,Love
70,司机 可以 提醒 他 说 ： 你 投 十 元 进去 就 门口 等 别人 投币 时 直接 给 你 就 行了,"Expect,Love",Expect,Love
71,可是 她 没有 提醒 他 ； 而 他 呢 也 不 早 点 准备好 零钱 明知 道 投币 而且 不 能 找 钱 知道 没有 零钱 呢 应该 上车 前 就 和 大家 商量 好 把 准备 投 硬币 给 他 由 他 一个 人 投 进 十 元 就 可以 ； 和 他 起 上车 人 呢 也 可以 主动 帮助 他 把 准备 投 钱 给 他,"Expect,Hate",Expect,unLove
72,要是 这样 大家 都 能 多 一点 热心 就 不至于象这样 大家 僵持 着,"Expect,Anxiety,Hate","Joy,Expect",unLove
73,唉 冷漠 啊 多 事 不如 少 事 啊,"Hate,Anxiety,Sorrow","Anxiety,Sorrow",unLove
74,可是 帮 他 投 一元 钱 又 能 什么 事 呢,Anxiety,Anxiety,unLove
75,也许 人家 会 心里 想 这个 人 脑子 又 问题 白白 扔 一元 钱 也许 有人 在想 这个 人 心眼 倒是 挺 好 也许 有人 会 想 哼 这 人 臭 显摆 出风头 呗 可是 可是 呵呵 不管 人家 怎么想 我不 就 少 一元 钱 吗,"Joy,Hate",Joy,unLove
76,我还 少 什么,Anxiety,,unLove
77,呵呵 没有 其实 根本 就 不 知道 别人 在想 什么 也许 别人 什么 都 没有 想,"Joy,Anxiety",Joy,unLove
78,但 知道 那个 中年人 很 感激 就 事 这么 简单,Joy,"Love,Joy",Love
79,车 继续 行驶 着 下一 站 倒 没有人 下车 只 上车 很 多 老太 站 起来 请 其中 老太 坐下 另 一个 就 没有人 站 起来 尽管 好 几 帅哥 美 眉 却 安心 地 看着 窗外,"Hate,Sorrow","Love,Joy",Love
80,奈何,"Anxiety,Hate","Anxiety,Sorrow",unLove
81,无奈 也,"Sorrow,Anxiety,Hate","Anxiety,Sorrow",unLove
82,车 继续 行驶 下一 站 又 到站 上来 身怀六甲 孕妇 让 坐 老太 赶紧 站 起来 让 孕妇 坐下来 呵呵 感动 还 孕妇 或者 还有 更 多 人 都 被 感动 着,"Joy,Love","Love,Joy",Love
83,那位 没有 零钱 中年人 站 起来 让座,Joy,Expect,unLove
84,终于 帅哥 站 起来 让 刚 上车 一个 老大爷 坐下,Joy,Love,Love
85,呵呵 笑了,Joy,Joy,Love
86,这才 我最 开心 时候,Joy,Joy,Love
87,车 还 继续 行驶 着 可是 司机 语气 明显 热情 缓和 车 里 年轻人 站 起来 多 那个 中年人 临 下车 还 不 忘 对 再次 说 声 谢谢,"Joy,Love","Love,Joy",Love
88,呵呵 其实 每个 人 都 只是 付出 那么 一点点 热情 和 关爱 这个 小小的 车厢 就 变 得 温馨 起来,"Joy,Love","Love,Joy",Love
89,今天 这 辆 车上 所有人 一定 会 好心 情,"Joy,Expect","Love,Expect",Love
90,爱 会 继续 传递,"Expect,Joy","Love,Expect",Love
91,呵呵 　　 短短的 快乐 之旅,"Joy,Love",Joy,Love
92,金 妍 儿 和 浅 田 真 央 此前 历史 上 总共有 过 ８ 次 交锋 金 妍 儿 ３ 胜 ５ 负 处于 一定 劣势 特别 ２００８年 世锦赛 和 总 决赛 连败 让 人们 开始 怀疑 她 竞争力 至少 从 跳跃 难度 上 看 浅 田 真 央 历史 上 最 具 实力 选手,"Anxiety,Sorrow",Love,Love
93,不过 金 妍 儿 新 赛季 学会 韬光养晦 身体 状态 积蓄 今年 二 三月 爆发 从而 彻底 改变 以往 半 赛季 力不从心 尴尬,"Love,Anxiety",Joy,unLove
94,金 妍 儿 新 赛季 短 节目 骷髅 之舞 法国 著名 作曲家 圣桑 根据 首 奇怪 诗歌 写成 这段 阴阳怪气 恐怖 颤栗 音乐 极 难 驾驭 既 演绎 出 骷髅 狂欢 又 表达 出 墓地 寂静,"Anxiety,Hate",Love,Love
95,而 金 妍 儿 天才 就 体现在 对 音乐 理解 和 拿 捏 全套 节目 八 动作 天衣无缝 水银 泻地 饱满 而 充满 激情 一口气 滑 下来 毫不费力 这 曲 震撼 心灵 死亡 之舞 为 她 赢得 ７２．２４ 分 而 历史 上 还 从来 没有 人 能 跨过 ７２ 分 关口,"Love,Surprise","Love,Joy",Love
96,金 妍 儿 规定 动作 短 节目 比赛 里 着 优良 传统 早在　２００７ 世锦赛 她 就 凭借 优美 典雅 红 磨坊 赢得 ７１．９５ 分 打破 都 灵 冬奥会 亚军 美国 名将 科恩 保持 短 节目 最高 分 纪录 ７１．１２ 分,Love,"Love,Joy",Love
97,这也 充满 显示 金 妍 儿 扎实 基本功 和 唯美 艺术 表现 她 可能 没有 浅 田 真 央 那种 自由滑 动辄 三 周 半 火星 跳跃 但 其 由 内 向 外 气质 和 底蕴 却 独一无二,Love,Love,Love
98,据 金 妍 儿 教练 加拿大花滑名宿布莱恩－奥塞尔爆料 金 妍 儿 近来 身体 力量 提高 甚 快 尤其 双 腿 弹跳 显著 增强 在做 阿克谢尔跳时金妍儿 垂直 跳跃 高度 可以 达到　６５ 厘米 而 ＮＢＡ 著名 球星 加内特 垂直 跳跃 高度 也 仅仅 ８９ 厘米,"Love,Surprise",Joy,Love
99,金 妍 儿 至今 还 保持 着 自由滑 １３３．７０ 分 世界 纪录 如果 接 下 来 比赛 里 她 能 延续 目前 尚佳 状态 那么 很 可能 成为 历史 上 总分 首位 超过 ２００ 女子 单人滑 选手,"Expect,Love","Love,Joy,Expect",Love
100,与 金 妍 儿 春风得意 形成 鲜明 反差 卫冕 冠军 浅 田 真 央 不 跳空 就 转身 这位 跳跃 女王 最 擅长 环节 破绽 频 出 重蹈 去年 法国 站 大奖赛 覆辙 而 ５７．８６ 分 排名 第六 也 创造 浅 田 真 央 排名 新低 自从 转入 成年组 以来 她 还 从来 没有 名次 排 得 这么 靠,Hate,"Love,Joy",unLove
101,尽管 浅 田 真 央 ０７ ０８ 世锦赛 和 ０８ 总 决赛 都 自由滑 上演 过 逆转 金 妍 儿 好戏 但 此 一时 彼 一时 如今 悬念 已经 不 金 妍 儿 能否 夺冠 而是 这位 职业 生涯 首次 参加 四 大 洲 赛 韩国 姑娘 可不可以 突破 前无古人 ２００ 分 大关,"Expect,Love",Love,Love
102,奥林匹亚 圣火 之所以 神圣 与 普罗米修斯 偷盗 天火 故事 息息相关 他 象征 着 对 一切 过去 偏 狭 自满 不 屈 即便 众 神 神 宙斯 也不是 不可 冒犯,"Love,Hate",Love,Love
103,同一 世界 同一 梦想 北京 奥运 传承 希腊 神话 里 普罗米修斯 勇敢 和 无私 现代 奥运会 会 因为 中国 进行 而 显得 与众不同,Love,"Love,Joy,Expect",Love
104,中国 传统 天 人 合一 思想 体现 人 与 自然 人 与 人 之间 和谐 相处 中国 文化 从 某种 程度 上 也 与 现代 奥林匹克 精神 完全 契合,Love,"Love,Joy",Love
105,古 希腊 纷乱 战争 一旦 有人 从 祭坛 点燃 火炬 奔赴 各个 城邦 所有 交战 士兵 都 放下 武器 圣火 面前 人们 忘记 仇恨 偏见 和 战争,"Love,Hate","Love,Joy",Love
106,毫无疑问 北京 奥运 会 与 政治 和 隔膜 离 最 远 届 盛事 这里 人们 只 更 高 更 快 更 强 追求,"Expect,Love","Love,Expect",Love
107,柏林 奥运会 一度 成为 希特勒 纳粹 德国 表演 舞台 莫斯科 和 洛杉矶 奥运会 成为 苏 美 超级大国 冷战 牺牲品 只 北京 奥运会 完全 超出 现实 里 种种 不堪 不管 哪个 国家 哪个 地区 持 什么 信仰 人们 都 会 ０８ 奥运 上 得到 礼遇,"Love,Hate,Sorrow","Love,Sorrow",Love
108,这 正是 大公无私 普罗米修斯 不 计 个人 得失 为 人类 窃取 火种 精神,Love,Hate,Love
109,希腊 神话 里 大力神赫拉克勒斯 出于 义愤 解救 被 宙斯 困于 高加索 山上 忍受 鹰 啄 剧痛 普罗米修斯,"Sorrow,Joy","Love,Joy",Love
110,而 北京 奥运 恰似 那 力 大 无边 大力神 这将 史 以来 最 纯洁 最 浩大 奥运会 没有 战争 没有 攻击 没有 西方 寡头 贪婪 和 压制,Love,"Love,Joy",Love
111,所有 中国 人 都 体会 东道主 荣耀 和 责任 他们 急切 关注 着 希腊 进行 采 火 仪式,"Love,Expect","Love,Expect",Love
112,奥林匹克 运动 宗旨 不仅仅 促进 参与者 个人 发展 和 提高 而是 像 可以 燎原 火种 承担 着 巨大 历史 使命 和 社会 责任,Love,"Love,Expect",Love
113,奥林匹克 精神 增进 不同 国家 不同 民族 和 不同 文化 了解 和 沟通 中国 会 肩负 起 神圣 使命 除了 体育 竞技 本身 还要 把 光明 和 欢乐 和平 和 友谊 散播 地球 每 一个 角落,"Love,Expect","Love,Joy,Expect",Love
114,普罗米修斯 火种 注定 点燃 １３亿 中国 人民 内心 激情 奥林匹克 思想 会 得到 最 深刻 最 广泛 弘扬,"Joy,Love","Love,Joy,Expect",Love
115,火种 会 经历 世界 各地 和 大半 中国 甚至 还要 登顶 珠穆朗玛峰 屋脊 北京 奥运会 必将 成为 历史 影响 最 深远 届 奥运会,Love,"Joy,Expect",Love
116,有些 国家 把 奥运 看成 商机 有些 国家 把 奥运 视作 作秀 而 北京 奥运 高举 绿色 奥运 科技 奥运 和 人文 奥运 大旗 会 真正 意义 上 让 普罗米修斯 火种 熠熠生辉,Love,"Love,Joy,Expect",Love
117,一直 对 劝酒 没有 太 多 思考 人家说 盛情 算是 吧,Love,"Love,Joy",unLove
118,物质 匮乏 时 酒 好 东西 舍不得 管 客 喝 够,Love,Hate,unLove
119,可是 如今 物阜 民丰 酒食 充盈 这个 理由 不再 成立 只剩 虚无 感情,"Hate,Love","Joy,Sorrow",unLove
120,酒精 似乎 成 液化 友谊,Hate,Love,unLove
121,其 实是 说谎 初次 见面 谈 何 感情 无话可 说 以 酒 充数,Hate,,unLove
122,十几 年 前 少不更事 不时 烂 醉 数 年 前 带队 采访 为 保护 记者 舍身 求 醉 如今 明白 些个 道理 便 已有 数年 逃 醉,"Anxiety,Sorrow",Love,unLove
123,那些 白酒 即使 真的 好 酒 也 已 无兴趣,Hate,Sorrow,unLove
124,今天 中午 食堂 与 同事 说起 春节 喝酒 一想 很多 人 为何 使劲 劝酒 呢,Anxiety,Anxiety,unLove
125,原因 很 深刻 ： 他们 漠视 人 基本 权利 —— 生命权,Hate,"Anxiety,Sorrow",unLove
126,酒 即使 真的 过多 饮 用 也 会 对 肝 对 心脏 对 大脑 等 器官 造成 严重 损害 最后 即 夺 人 性命,Hate,"Anxiety,Sorrow",unLove
127,演员 牛 振华 醉酒 驾车 发生 交通 事故 死亡 醉酒 驾车 导致 他人 死亡 醉 酒 超速 驾驶 司机 死亡 呕吐物 堵塞 呼吸道 醉酒 男子 窒息 死亡 五 男子 劝酒 过度 致 年迈 工友 死亡 饮酒 过度 死亡 劝酒 同伴 赔偿 参加 婚宴 醉 酒 死亡 新人 酒店 都 成 被告 顾客 咖啡店 醉 酒 死亡 店主 因 劝酒 受审 ５ 人 频频 劝酒 致 酒友 死亡 遭 索赔 １７万 …… 随便 搜索 一下 就 得到 这些 报道,"Sorrow,Hate",Sorrow,unLove
128,都 害人 性命 份 上 还有 感情 可言 吗,Hate,"Hate,Anger",unLove
129,明明 知道 何以 害人,Hate,Anxiety,unLove
130,对 人家 生命 对 生命 都 未 放在 心上 啊,Sorrow,"Anxiety,Sorrow",unLove
131,你 不 命 你 牛 何以 拉 上 人家 垫 背 陪 命,Hate,Anger,unLove
132,不仅 不 文明 不人道 非人性 啊,Hate,"Hate,Anger",unLove
133,数字 说 我国 每年 酒精 中毒 人数 超过 １０００万 人 因 酗酒 肇事 立案 高 达 ４００万 起,Hate,"Anxiety,Hate",unLove
134,全国 每年 １０万 人 死 于 车祸 而 １／３ 以上 交通 事故 发生 与 酗酒 及 酒后 驾车 有关,"Hate,Sorrow","Anxiety,Hate",unLove
135,以 劝酒 ＋ 漠视 搜索 发现 有人 博客 签名 说 ： 中国 人 最 坏 习惯 就 劝酒 背后 隐藏 对 个人 权利 最 大 漠视 还 打 着 感情 与 耿直 幌子,Hate,Hate,unLove
136,哈 知音 啊,"Joy,Love","Love,Joy",unLove
137,哪里 只是 陋习 恶习 啊,Hate,Hate,unLove
138,以 酒 助兴 过 则 败德,Hate,,unLove
139,觥筹 无知 盛馔 无辜 劝 者 无良 醉 者 呜呼,"Hate,Sorrow","Sorrow,Hate",unLove
140,日前 ２００９年 春 晚 总 策划 秦 新民 表示 主题 定 为 中华 大 联欢 春 晚 大胆 创新,Love,"Love,Expect",Love
141,还有 小品 今年 不但 引入 新人 还 向 多 影视 明星 发出 邀请 不但 您 笑 而且 让 您 感到 新鲜,"Love,Expect","Love,Joy",Love
